,source,target,value
57,Initial Public Offerings,KNN,1
58,AI,KNN,1
59,Oakoff Investments,Ranked,1
0,Elon Musk,Tesla,1
1,Elon Musk,Zachary Kirkhorn,1
2,TSLA,Zachary Kirkhorn,2
3,TSLA,the US Securities and Exchange Commission,1
4,SEC,the US Securities and Exchange Commission,2
5,Kirkhorn,SEC,2
6,CFO,Kirkhorn,1
7,CFO,TSLA,2
8,Kirkhorn,TSLA,1
9,Kirkhorn,Kirkrhon,1
10,Kirkrhon,Tesla,1
11,EV,Tesla,2
12,CFO,EV,2
13,Cybertruck,Tesla’s,1
14,Cybertruck,Project Highland,2
15,Project Highland,Tesla,1
16,Musk,Tesla,3
17,Porsche,Tesla China,1
18,Shanghai,Tesla China,2
19,Q4,Shanghai,1
0,Dow,the S&P 500's,1
1,Dow,Nasdaq,2
2,Zacks Consensus Estimates,the Zacks Consensus Estimate,1
3,Zacks Rank,the Zacks Consensus EPS,1
4,Tesla,Zacks Rank,1
5,TSLA,Tesla,1
6,PEG,TSLA,1
7,Automotive - Domestic,PEG,1
8,Automotive - Domestic,The Automotive - Domestic,1
9,The Automotive - Domestic,Zacks Industry Rank,1
10,The Zacks Industry Rank,Zacks Industry Rank,1
11,The Zacks Industry Rank,Zacks Rank,2
12,Zacks Investment Research,Zacks.com,1
13,"Tesla, Inc.",Zacks.com,1
14,Zacks Investment Research Related Quotes,Zacks.com,1
0,Tesla,Twitter,9
1,China,Twitter,5
2,China,Tesla,13
3,EV,Tesla,19
4,Tesla,YCharts,12
5,Model,Tesla,4
6,Tesla,Twitter Spaces,2
7,Electrek Additionally,Twitter Spaces,1
8,Electrek Additionally,Tesla,2
9,China,EV,1
10,Shanghai Gigafactory,Tesla,2
11,Shanghai,Tesla,3
12,EPS,EV,2
13,EPS,Tesla,1
14,Cybertruck,YCharts,2
15,China,Cybertruck,2
16,FY 2022,Tesla,3
17,Cybertruck,Tesla,3
18,Lucid Group,Tesla,4
19,Tesla,YCharts Right,3
20,RSI,Tesla,3
0,EV,Tesla,1
1,EV,Morgan Stanley,1
2,CNN,Gordon Johnson,2
3,Gordon Johnson,Tesla,2
4,Johnson,Tesla,2
5,Germany,Tesla,2
6,Germany,Texas,2
7,China,Texas,1
8,China,Covid,2
9,Covid,US,1
10,Terms of Service,the Amazon Services LLC Associates Program,1
11,Amazon.com,the Amazon Services LLC Associates Program,2
0,Bloomberg's Alix Steel,Paul Sweeney,2
1,Bloomberg Intelligence,Paul Sweeney,2
2,Bloomberg Intelligence,Gina Champion-Cain,1
3,Gina Champion-Cain,San Diego,2
4,Ponzi,San Diego,1
5,Ponzi,UK Passengers Return,1
6,UK Passengers Return,Work Israel’s,2
7,Eyes Measures,Work Israel’s,2
8,Boost Competition Lagarde,Eyes Measures,2
9,Appeal Endures Bank,Boost Competition Lagarde,1
10,Appeal Endures Bank,China,2
11,China,Extending Incentive Offers,2
12,Extending Incentive Offers,US,2
13,David Beckham,US,2
14,Nancy Pelosi’s,Ukraine,2
15,Nancy Pelosi’s,the Eastern Front Futuristic,2
16,China,the Eastern Front Futuristic,2
17,China,US,1
18,New York City,US,1
19,Farah Elbahrawy,New York City,2
20,Farah Elbahrawy,Tesla Inc.,2
21,Tesla Inc.,Vanda Research,1
