,source,target,value
6,Zacks Rank,the Zacks Rank,1
7,Zacks Rank,the Zacks Consensus EPS,3
8,Tesla,Zacks Rank,2
9,TSLA,Tesla,2
10,PEG,TSLA,2
11,Automotive - Domestic,PEG,2
12,Automotive - Domestic,The Automotive - Domestic,2
13,The Automotive - Domestic,Zacks Industry Rank,2
14,The Zacks Industry Rank,Zacks Industry Rank,2
15,The Zacks Industry Rank,Zacks Rank,3
16,Zacks Rank,Zacks.com,1
17,Zacks Investment Research,Zacks.com,2
18,"Tesla, Inc.",Zacks Investment Research,1
19,"Tesla, Inc.",Zacks.com,2
20,Zacks Investment Research Related Quotes,Zacks.com,2
0,Tesla,Twitter,13
1,China,Twitter,8
2,China,Tesla,20
3,EV,Tesla,31
4,Tesla,YCharts,21
5,Model,Tesla,6
6,Tesla,Twitter Spaces,3
7,Electrek Additionally,Twitter Spaces,2
8,Electrek Additionally,Tesla,3
9,China,EV,2
10,Shanghai Gigafactory,Tesla,4
11,Shanghai,Tesla,5
12,Chinese,Tesla,6
13,EPS,EV,3
14,EPS,Tesla,2
15,Cybertruck,YCharts,3
16,China,Cybertruck,3
17,FY 2022,Tesla,5
18,Cybertruck,Tesla,5
19,Lucid Group,Tesla,6
20,Tesla,YCharts Right,5
21,RSI,Tesla,5
0,EV,Tesla,1
1,EV,Morgan Stanley,1
2,CNN,Morgan Stanley,1
3,CNN,Gordon Johnson,3
4,Gordon Johnson,Tesla,3
5,Johnson,Tesla,4
6,Germany,Tesla,3
7,Germany,Texas,3
8,China,Texas,2
9,China,Covid,3
10,Covid,US,2
11,Moustache Coffee Club,Terms of Service,1
12,Terms of Service,the Amazon Services LLC Associates Program,2
13,Amazon.com,the Amazon Services LLC Associates Program,3
14,Amazon.com,Privacy Policy,1
0,Bloomberg's Alix Steel,Paul Sweeney,2
1,Bloomberg Intelligence,Paul Sweeney,2
2,Bloomberg Intelligence,Gina Champion-Cain,2
3,Gina Champion-Cain,San Diego,3
4,Ponzi,San Diego,2
5,Ponzi,UK Passengers Return,2
6,UK Passengers Return,Work Israel’s,3
7,Eyes Measures,Work Israel’s,3
8,Boost Competition Lagarde,Eyes Measures,3
9,Appeal Endures Bank,Boost Competition Lagarde,2
10,Appeal Endures Bank,China,3
11,China,Extending Incentive Offers,3
12,Extending Incentive Offers,US,3
13,David Beckham,US,3
14,David Beckham,Ukraine,1
15,Nancy Pelosi’s,Ukraine,3
16,Nancy Pelosi’s,Republican,3
17,Republican,the Eastern Front Futuristic,3
18,China,the Eastern Front Futuristic,3
19,China,US,2
20,New York City,US,2
21,Farah Elbahrawy,New York City,3
22,Farah Elbahrawy,Tesla Inc.,3
23,Tesla Inc.,Vanda Research,2
0,Baltimore,N. Charles St,6
1,Baltimore,MD,6
2,MD,Tesla,2
3,Shutterstock.com,Tesla,6
4,EV,Tesla,9
5,EV,Twitter,1
6,Tesla,Twitter,1
7,Barron’s,Tesla,2
8,Barron’s,EV,2
9,Chinese,Tesla,8
10,Chinese,NIO (NIO,3
11,NIO (NIO,Nio,2
12,Nio,Tesla,3
13,China,EV,3
14,China,Tesla,2
15,Shanghai,Tesla,2
16,Shanghai,the Wall Street Journal,2
17,Tesla’s,the Wall Street Journal,3
18,Shanghai,Tesla’s,3
19,EV,Nio,3
20,Samuel O’Brient,Tesla,1
21,EV,Samuel O’Brient,2
22,EV,TipRanks,2
23,InvestorPlace Media,TipRanks,2
24,FinancialContent Services,InvestorPlace Media,3
25,FinancialContent Services,Nasdaq,1
0,Elon Musk,Tesla,6
1,Elon Musk,Tesla’s,1
2,Tesla’s,Twitter,2
3,Tesla,Twitter,9
4,Elon Btw,Tesla,1
5,Model,Tesla,4
6,Tesla,the United States,3
7,Canada,the United States,3
8,Canada,Tesla,1
9,Giga Berlin,Tesla,2
10,Giga Berlin,Larry Goldberg,2
11,Larry Goldberg,Tesla,3
12,Elon Musk,Omar,3
13,Omar,Tesla,1
14,Google News,Tesla,3
15,Flipboard,Google News,2
16,Flipboard,Iqtidar,2
17,Iqtidar,Tesla,3
18,Elon Musk,XAutoWorld.com,3
19,CleanTechnica,XAutoWorld.com,3
20,CleanTechnica,InsideEVs,3
21,InsideEVs,Tesla,3
22,Social Media,Tesla,3
23,Iqtidar,Social Media,2
24,Elon,Iqtidar,3
25,Elon,Tesla,1
26,Tesla,Tesla Inc.,2
0,LBMZ Securities,ZacksTrade,5
1,Zacks.com,ZacksTrade,4
2,Cancel Image,ZacksTrade,1
3,Cancel Image,HOG,3
4,HOG,Zacks Equity Research,2
5,Zacks Equity Research,Zacks Equity Research Tale,3
6,Zacks Equity Research Tale,the Tape Tesla,3
7,EV,Tesla,2
8,EV,Santa Claus,1
9,Musk,Santa Claus,2
10,China,Musk,3
11,EPS,Tesla,3
12,Tesla,Zacks Rank,2
13,Tesla,the Zacks Automotive - Domestic,3
14,Harley-Davidson,the Zacks Automotive - Domestic,2
15,HOG,Harley-Davidson,4
16,EPS,Harley-Davidson,4
17,Harley-Davidson,Zacks Rank,3
18,"HarleyDavidson, Inc.",Zacks Rank,2
19,HOG,"HarleyDavidson, Inc.",3
20,HOG,"Tesla, Inc.",3
21,"Tesla, Inc.",Zacks Rank,2
22,FREE,Zacks Rank,1
23,Dow Jones & Company,Microsoft Corporation,3
24,Dow Jones & Company,"Nasdaq, Inc.",3
25,Forbes Media,"Nasdaq, Inc.",3
26,Forbes Media,Investor's Business Daily,3
27,Investor's Business Daily,"Morningstar,",3
28,"Morningstar,",Zacks Investment Research,1
29,Chicago,Zacks Investment Research,3
30,Chicago,Zacks Rank,1
31,Zacks,Zacks Rank,3
32,Zacks,Zacks Ranks,2
33,Zacks Rank,Zacks Ranks,2
34,NYSE,Sungard,2
35,AMEX,NYSE,3
36,AMEX,NASDAQ,2
37,NASDAQ,the Google Privacy Policy and Terms of Service,2
0,Baltimore,N. Charles St,6
1,Baltimore,MD 21201,3
2,MD 21201,Twitter,2
3,Athenex,InvestorPlace,2
4,Athenex,NASDAQ,3
5,ATNX,NASDAQ,3
6,ATNX,Bed Bath & Beyond,3
7,Bed Bath & Beyond,NASDAQ,3
8,NASDAQ,NYSE,3
9,NIO,NYSE,3
10,NIO,William White,1
11,William White,the InvestorPlace.com Publishing Guidelines,2
12,Automotive,the InvestorPlace.com Publishing Guidelines,2
13,Automotive,Electric Vehicles   Article,3
14,Electric Vehicles   Article,InvestorPlace Media,3
15,FinancialContent Services,InvestorPlace Media,3
16,FinancialContent Services,Nasdaq,1
17,Baltimore,MD,3
0,Elon Musk,Twitter,1
1,Tesla,Twitter,12
2,Ross Gerber,Twitter,3
3,Musk,Ross Gerber,1
4,Musk,fed,5
5,Twitter,fed,3
6,Musk,Twitter,14
7,Tesla,fed,3
8,Musk,Tesla,32
9,EV,Musk,5
10,Earl Banning,Twitter,2
11,Earl Banning,Musk,3
12,Tesla,Tesla’s,2
13,COO,Musk,3
14,COO,SpaceX,2
15,COO Gwynne Shotwell,SpaceX,3
16,COO Gwynne Shotwell,Tesla,2
17,Tesla,Tom Zhu,3
18,Tesla China,Tom Zhu,3
19,FTC,Tesla China,2
20,Electrek,YouTube,3
21,Jameson,YouTube,1
22,Jameson,jamie@electrek.co Use,2
23,Aptera,jamie@electrek.co Use,2
0,Tesla,Twitter,24
1,Elon Musk,Tesla,3
2,Elon Musk,Twitter,3
3,Musk,Tesla,11
4,Musk,Twitter,6
5,TSLA,Tesla,3
6,TSLA,Twitter,3
7,Leo KoGuan,Tesla,5
8,Gary Black,Tesla,5
9,EV,Tesla,1
10,EV,Teslas,3
11,Tesla,Teslas,3
12,Tesla,Twitterverse,2
13,Omar Qazi,Tesla,3
14,Musk,Tesla’s,3
15,Tesla,Tesla’s,1
16,Elon,Tesla,4
17,Electrek,YouTube,3
18,Twitter,Zalkon.com,3
19,Fred,Zalkon.com,3
20,Fred,Fred Lambert ChargePoint,2
0,SEC,Tesla,1
1,SEC,TSLA,2
2,Bernard Arnault,Twitter,2
3,Tesla,Twitter,19
4,TSLA,Tesla,2
5,TSLA,Twitter,3
6,Musk,Twitter,4
7,Musk,Tesla,6
8,Musk’s Twitter,Tesla,3
9,Fred,Musk’s Twitter,1
10,Fred,Musk,3
11,Musk,superfans,3
12,Twitter,superfans,2
13,Fred,Tesla,5
14,Elon,Tesla,2
15,Electrek,Tesla,2
16,FTC,Tesla,2
17,Electrek,YouTube,3
18,Jameson,YouTube,1
19,Jameson,jamie@electrek.co Use,2
20,Aptera,jamie@electrek.co Use,2
0,Christian Cooper,Subversive Capital,2
1,Subversive Capital,Tesla,2
2,Cooper,Tesla,3
3,Cooper,Yahoo Finance Live,3
4,EV,Yahoo Finance Live,3
5,ETF,Elon Musk's,2
6,Elon Musk's,Twitter,3
7,Tesla,Twitter,2
8,Model,Tesla,3
9,Model,U.S.,3
10,Tesla,U.S.,2
11,Shanghai,Tesla,3
12,China,Tesla,1
13,Brian Sozzi,China,1
14,Brian Sozzi,Yahoo Finance,3
15,Follow Sozzi,Yahoo Finance,2
16,Follow Sozzi,Twitter @BrianSozzi,3
17,LinkedIn,Twitter @BrianSozzi,3
18,LinkedIn,the Yahoo Finance,2
19,Read,the Yahoo Finance,2
20,Apple,Read,2
21,Apple,Facebook,2
22,Facebook,Instagram,2
23,Flipboard,Instagram,2
24,Flipboard,LinkedIn,2
25,LinkedIn,YouTube Related Quotes,2
0,Tesla,Tesla’s,8
1,Leo KoGuan,Tesla,5
2,MIA,Tesla,5
3,@$400 https://t.co/D3FD4AhVlt,Tesla,3
4,@$400 https://t.co/D3FD4AhVlt,KoGuan,2
5,KoGuan,Tesla,6
6,Larry Ellison,Tesla,5
7,Nasdaq,Tesla,3
8,Elon Musk,Nasdaq,2
9,Elon Musk,Tesla,3
10,KoGuan,Rousseau,3
11,S3 Partners,Tesla,4
12,Electrek,YouTube,3
13,Twitter,Zalkon.com,3
14,Fred,Zalkon.com,3
15,Fred,Fred Lambert ChargePoint,2
0,Bloomberg's Alix Steel,Paul Sweeney,2
1,Bloomberg Intelligence,Paul Sweeney,2
2,Bloomberg Intelligence,Gina Champion-Cain,2
3,Gina Champion-Cain,San Diego,3
4,Ponzi,San Diego,2
5,Ponzi,UK Passengers Return,2
6,UK Passengers Return,Work Israel’s,3
7,Eyes Measures,Work Israel’s,3
8,Boost Competition Lagarde,Eyes Measures,3
9,Appeal Endures Bank,Boost Competition Lagarde,2
10,Appeal Endures Bank,China,3
11,China,Extending Incentive Offers South Korea Asks,3
12,Extending Incentive Offers South Korea Asks,US,3
13,David Beckham,US,2
14,David Beckham,Ukraine,1
15,Nancy Pelosi’s,Ukraine,3
16,Nancy Pelosi’s,Republican,3
17,Republican,the Eastern Front Futuristic,3
18,China,the Eastern Front Futuristic,3
19,China,US,2
20,New York City,US,2
21,New York City,Tesla,3
22,Gruenheide,Tesla,3
23,Germany,Gruenheide,3
24,Germany,Josh Eidelson Subscriber,2
25,Josh Eidelson Subscriber,Tesla Inc.,3
26,Florida,Tesla Inc.,3
27,Florida,US,3
28,National Labor Relations Board’s,US,2
29,National Labor Relations Board’s,Tampa,3
30,Bloomberg News,Tampa,2
31,Bloomberg News,Freedom of Information Act,2
0,Baltimore,N. Charles St,6
1,Baltimore,MD 21201,3
2,Cathie Wood,MD 21201,2
3,Cathie Wood,Tesla,7
4,EV,Tesla,3
5,EV,Wood’s Ark Investment Management,2
6,Wood’s Ark Investment Management,the ARK Autonomous Technology & Robotics,2
7,ARKQ,the ARK Autonomous Technology & Robotics,3
8,ARKQ,Cathie Wood,2
9,Elon Musk,Tesla,3
10,EV,Elon Musk,3
11,EV,Twitter,3
12,Tesla,Twitter,1
13,Cathie Wood,Cathie Wood’s,2
14,Core Scientific,InvestorPlace,2
15,Core Scientific,NASDAQ,3
16,NASDAQ,Wells Fargo,3
17,NYSE,Wells Fargo,3
18,NYSE,William White,1
19,William White,the InvestorPlace.com Publishing Guidelines,2
20,InvestorPlace Media,the InvestorPlace.com Publishing Guidelines,2
21,FinancialContent Services,InvestorPlace Media,3
22,FinancialContent Services,Nasdaq,1
23,Baltimore,MD,3
0,Baltimore,N. Charles St,6
1,Baltimore,MD 21201,3
2,MD 21201,helloabc /,2
3,Shutterstock.com,helloabc /,3
4,Forbes,Shutterstock.com,1
5,Bernard Arnault,Forbes,3
6,Bernard Arnault,Tesla,2
7,Tesla,Twitter,3
8,China,Shanghai,5
9,China,Tesla,2
10,Tesla,U.S.,4
11,General Motors,Tesla,2
12,General Motors,NYSE,3
13,GM,NYSE,3
14,GM,Toyota Motor,3
15,NYSE,Toyota Motor,3
16,NYSE,TM,3
17,GM,Toyota,2
18,GM,Tesla,2
19,Microsoft,Tesla,3
20,Microsoft,Shanghai,1
21,GM,Shanghai,2
22,Dana Blankenhorn,GM,2
23,Dana Blankenhorn,MSFT,3
24,MSFT,the InvestorPlace.com Publishing Guidelines,2
25,Dana Blankenhorn,the InvestorPlace.com Publishing Guidelines,2
26,Dana Blankenhorn,Substack,1
27,Automotive,Substack,2
28,Automotive,Electric Vehicles   Article,3
29,Electric Vehicles   Article,FinancialContent Services,3
30,FinancialContent Services,Nasdaq,1
31,Baltimore,MD,3
0,Model,Tesla,3
1,Tesla,the United States,12
2,US,the United States,3
3,Tesla,US,2
4,Electrek,Tesla,3
5,Model 3,Tesla,3
6,Model,Model 3,3
7,GM,Reduce,2
8,Reduce,the US Treasury,1
9,FTC,the US Treasury,1
10,Electrek,YouTube,3
11,Twitter,Zalkon.com,3
12,Fred,Zalkon.com,3
13,Fred,Fred Lambert ChargePoint,2
0,Getty Images Sjo/iStock,Tesla,1
1,Tesla,U.S.,3
2,China,U.S.,3
3,Automotive Leasing,Services & Other,3
4,Energy Generation & Storage,Services & Other,3
5,Pepsi,Tesla Semis,3
6,Model Ys,TSLA,1
7,Fibonacci,TSLA,4
8,Schwab StreetSmart Edge,TSLA,2
9,TSLA,Tesla,2
0,MarketBeat,"Tesla, Inc.",1
1,"Tesla, Inc.",Wedbush,1
2,Tesla,Wedbush,11
3,D. Ives,Wedbush,5
4,EPS,Tesla,7
5,Mizuho,Tesla,5
6,Piper Sandler,Tesla,5
7,Needham & Company,Tesla,5
8,Tesla,Truist Financial,5
9,SVP,Tesla,6
10,SEC,Tesla,2
11,Riggs Asset Managment Co. Inc.,Tesla,7
12,Alera Investment Advisors,Tesla,6
13,Alera Investment Advisors,Stanley Laman Group Ltd.,2
14,Stanley Laman Group Ltd.,Tesla,5
15,Stanley Laman Group Ltd.,Toledo NA OH,2
16,Tesla,Toledo NA OH,3
17,Tesla,Trust Co.,2
18,Toledo NA OH,Trust Co.,3
19,China,the United States,3
20,Automotive,China,2
21,Automotive,"Read More
Get",2
22,"Read More
Get",Tesla,3
23,MarketBeat,Tesla,9
24,Tesla,View The Five Stocks,2
25,MarketBeat,View The Five Stocks,3
26,Get This Free Report,MarketBeat,4
27,Laycee,MarketBeat,2
28,Chris,Laycee,3
29,Chris,MarketBeat,3
30,MarketBeat,SEC,3
31,MarketBeat,Sioux Falls,1
32,American Consumer News,Sioux Falls,3
33,American Consumer News,Barchart Solutions,1
34,Barchart,Barchart Solutions,1
0,"Ardelyx, Inc.",TSLA,2
1,+0.13,"Ardelyx, Inc.",3
2,+0.13,Zacks,2
3,ARDX,Zacks,3
4,KALA,"Kala Pharmaceuticals, Inc.",3
5,KALA,Zacks,5
6,NIO Inc.,Zacks,2
7,NIO,Zacks,3
8,Gaotu Techedu Inc.,NIO,2
9,Gaotu Techedu Inc.,XPeng Inc.,2
10,TAL Education Group,XPeng Inc.,1
11,TAL,TAL Education Group,3
12,AMC Entertainment Holdings,TAL,3
13,AMC,AMC Entertainment Holdings,3
14,AMC,Unibanco Banco Holding SA,2
15,Unibanco Banco Holding SA,Zacks,2
16,"Nasdaq, Inc.",Zacks,2
17,"Nasdaq,","Nasdaq, Inc.",2
0,Baltimore,N. Charles St,6
1,Baltimore,MD 21201,3
2,MD 21201,Tesla,2
3,Famed,Tesla,3
4,Cathie Wood,Famed,3
5,Ark Invest,Cathie Wood,2
6,EV,Wood’s,2
7,TSLA,Wood’s,2
8,Cathie Wood,TSLA,1
9,Ark Invest’s,Cathie Wood,2
10,Ark Invest,Tesla,1
11,Ark Invest,Wood’s,2
12,Wood’s,the ARK Innovation ETF,2
13,NYSEARCA,the ARK Innovation ETF,3
14,ARKK,NYSEARCA,3
15,ARKK,the ARK Autonomous Technology & Robotics,3
16,ARKQ,the ARK Autonomous Technology & Robotics,3
17,ARKQ,the ARK Next Generation Internet,3
18,NYSEARCA,the ARK Next Generation Internet,3
19,ARKW,NYSEARCA,3
20,ARKW,Zoom,2
21,ZM,Zoom,3
22,Exact Sciences,ZM,3
23,EXAS,Exact Sciences,3
24,EXAS,Tesla,1
25,RBC,Tesla,2
26,Goldman Sachs,RBC,3
27,Citigroup,Goldman Sachs,2
28,Citigroup,Tesla,2
29,Cathie Wood,Tesla,2
30,Cathie Wood,Musk,1
31,EV,Musk,3
32,EV,Twitter,2
33,Longtime Tesla,Twitter,1
34,Dan Ives,Longtime Tesla,3
35,Dan Ives,Wedbush,3
36,Tesla,Wedbush,2
37,ATM,Tesla,3
38,ATM,Twitter,3
39,Cathie Wood,Twitter,1
40,Cathie Wood,Samuel O’Brient,2
41,Samuel O’Brient,the InvestorPlace.com Publishing Guidelines,4
42,EV,Samuel O’Brient,2
43,EV,TipRanks,2
44,Consumer Discretionary,TipRanks,2
45,Automotive,Consumer Discretionary,3
46,Automotive,InvestorPlace Media,3
47,FinancialContent Services,InvestorPlace Media,3
48,FinancialContent Services,Nasdaq,1
49,Baltimore,MD,3
0,Bloomberg's Alix Steel,Paul Sweeney,2
1,Bloomberg Intelligence,Paul Sweeney,2
2,Bloomberg Intelligence,Gina Champion-Cain,2
3,Gina Champion-Cain,San Diego,3
4,Ponzi,San Diego,2
5,Ponzi,UK Passengers Return,2
6,UK Passengers Return,Work Israel’s,3
7,Eyes Measures,Work Israel’s,3
8,Boost Competition Lagarde,Eyes Measures,3
9,Appeal Endures Bank,Boost Competition Lagarde,2
10,Appeal Endures Bank,China,3
11,China,Extending Incentive Offers South Korea Asks,3
12,Extending Incentive Offers South Korea Asks,US,3
13,David Beckham,US,2
14,David Beckham,Ukraine,1
15,Nancy Pelosi’s,Ukraine,3
16,Nancy Pelosi’s,Republican,3
17,Republican,the Eastern Front Futuristic,3
18,China,the Eastern Front Futuristic,3
19,China,US,2
20,New York City,US,2
21,New York City,Twitter Inc.,2
22,Tesla Inc.,Twitter Inc.,3
23,China,Tesla Inc.,2
24,China,Shanghai,3
25,Shanghai,Texas,2
26,Tesla,Texas,2
27,Musk,Tesla,2
28,Musk,Twitter,2
0,Elon Musk,Top Forex Brokers,2
1,Cookies,Top Forex Brokers,3
0,EV,Tesla,5
1,Coin Price Forecast,Tesla,5
2,MA,TSLA,2
3,Tesla,the Coin Price Forecast,3
4,China,Tesla,5
5,EV,Interactive Brokers,2
6,Disclaimer,Interactive Brokers,3
0,Automotive - Domestic,Zacks Equity Research for Zacks,1
1,Automotive - Domestic,Harley-Davidson,1
2,HOG,Harley-Davidson,1
3,HOG,Tesla,1
4,Value,Zacks Rank,5
5,Harley-Davidson,Zacks Rank,5
6,Tesla,Zacks Rank,6
7,HOG,Zacks Rank,2
8,HOG,TSLA,11
9,HOG,Value,5
10,HOG,PEG,3
11,TSLA,Value,6
12,C. HOG,Value,3
13,C. HOG,Zacks Rank,3
14,Style Scores,Zacks Rank,3
15,HOG,Style Scores,3
16,HOG,"Zacks Names """,2
17,Boston Beer Company,Zacks’ Stocks Set,3
18,Boston Beer Company,NVIDIA,3
19,NVIDIA,Zacks Investment Research,2
20,"HarleyDavidson, Inc.",Zacks Investment Research,1
21,HOG,"HarleyDavidson, Inc.",3
22,HOG,Zacks.com,1
23,Zacks Investment Research,Zacks.com,2
24,"Nasdaq, Inc.",Zacks Investment Research,2
25,"Nasdaq,","Nasdaq, Inc.",2
0,MarketBeat,"Tesla, Inc.",1
1,EPS,Tesla,2
2,EPS,"Tesla, Inc.",5
3,Means Investment CO. Inc.,TSLA.,2
4,Means Investment CO. Inc.,Tesla,5
5,Alaethes Wealth,Means Investment CO. Inc.,2
6,Alaethes Wealth,Tesla,5
7,Alaethes Wealth,JB Capital,2
8,JB Capital,Tesla,5
9,Centerpoint Advisors,JB Capital,2
10,Centerpoint Advisors,Tesla,5
11,Centerpoint Advisors,D Orazio & Associates Inc.,2
12,D Orazio & Associates Inc.,Tesla,3
13,Orazio & Associates Inc.,Tesla,2
14,Needham & Company,Tesla,3
15,Roth Capital,Tesla,5
16,Global Equities Research,Tesla,5
17,Bank of America,Tesla,5
18,China,the United States,3
19,Automotive,China,2
20,Automotive,"Featured Articles
Get",2
21,"Featured Articles
Get",Tesla,3
22,"Remain CALM Income Investors
Tesla Stock",Tesla,3
23,MarketBeat,"Remain CALM Income Investors
Tesla Stock",3
24,MarketBeat,Tesla,6
